title,id,genres,keywords
2001: A Space Odyssey,62,"['Science Fiction', 'Mystery', 'Adventure']","['moon', 'artificial intellig', 'man vs machin', 'technolog', 'super comput', 'space travel', 'space miss', 'moon bas', 'astronaut', 'cult film', 'evolut', 'space st', 'space opera', '2000']"
Twelve Monkeys,63,"['Science Fiction', 'Thriller', 'Mystery']","['schizophrenia', 'philadelphia, pennsylvania', 'underground', 'time travel', 'post-apocalyptic futur', 'dystopia', 'mental institut', 'lethal viru', 'psychiatrist', 'monkey', 'cult film', 'subterranean', '1990']"
8 Mile,65,"['Music', 'Drama']","['individu', 'street gang', 'adolesc', 'rap mus', 'hip-hop', 'trailer park', 'ghetto', 'ethnic stereotyp', 'singl', 'detroit, michigan']"
Absolute Power,66,"['Crime', 'Drama', 'Action']","['corrupt', 'assassin', 'washington d.c.', 'rape', 'the white hous', 'u.s. presid', 'daughter', 'polit', 'govern', 'secret servic', 'u.s. secret service ag']"
Paradise Now,67,"['Thriller', 'Crime', 'Drama']","['individu', 'civil war', 'israel', 'palestin', 'middle east', 'muslim', 'middle east conflict', 'friendship', 'suicide miss', 'unemploy']"
Brazil,68,"['Comedy', 'Science Fiction']","['bureaucraci', 'police st', 'great britain', 'offic', 'dream', 'technolog', 'dystopia', 'govern', 'satir', 'surreal', 'dark comedi', 'terror', 'bomb', 'cult film', 'christma']"
Walk the Line,69,"['Drama', 'Music', 'Romance']","['germani', 'prison', 'music record', 'adulteri', 'loss of loved on', 'country mus', 'guitar', 'concert', 'marriag', 'singl', 'accid', '1960']"
Million Dollar Baby,70,['Drama'],"['transport', 'suicide attempt', 'fight', 'strong woman', 'boxer', 'dying and death', 'stroke of f', 'train', 'advanc', 'tragedi', 'female protagonist', 'brutal', 'unlikely friendship', 'euthanasia', 'determin']"
Billy Elliot,71,"['Drama', 'Comedy', 'Music']","['danc', 'homophobia', 'strike', 'northern england', 'scholarship', 'ballet', 'coming of ag', 'single fath', 'audit', 'dance class', 'dance teach', '1980', 'father son relationship', 'ballet danc', 'gay']"
American History X,73,['Drama'],"['neo naz', 'prison', 'skinhead', 'sibling relationship', 'rape', 'fascism', 'brother', 'basketbal', 'jail', 'school', 'swastika', 'los angeles, california', 'famili', 'hate', 'xenophobia', 'interracial friendship', 'nazism']"
War of the Worlds,74,"['Adventure', 'Thriller', 'Science Fiction']","['post traumatic stress disord', 'new jersey', 'airplan', 'dystopia', 'daughter', 'apocalyps', 'alien invas']"
Mars Attacks!,75,"['Comedy', 'Fantasy', 'Science Fiction']","['saving the world', 'the white hous', 'planet mar', 'u.s. presid', 'cataclysm', 'laser gun', 'ambassador', 'congress', 'flying sauc', 'alien invas']"
Before Sunrise,76,"['Drama', 'Romance']","['sunris', 'talk', 'soulmat', 'austria', 'vienna, austria']"
Memento,77,"['Mystery', 'Thriller']","['tattoo', 'waitress', 'amnesia', 'drug deal', 'motel', 'manipul', 'insurance salesman', 'reveng', 'murder', 'flashback', 'confus', 'memory loss', 'psychological thril', 'whodunit', 'los angeles, california', 'polaroid', 'cult film', 'nonlinear timelin', 'individu', 'phone cal', 'neo-noir']"
Blade Runner,78,"['Science Fiction', 'Drama', 'Thriller']","['artificial intellig', 'flying car', 'bounty hunt', 'android', 'based on novel or book', 'dystopia', 'genet', 'futurist', 'fugit', 'cyberpunk', 'los angeles, california', 'cult film', 'neo-noir']"
Before Sunset,80,"['Drama', 'Romance']","['paris, fr', 'journalist', 'talk', 'soulmat', 'bookshop', ""love of one's lif"", 'author']"
Miami Vice,82,"['Action', 'Crime', 'Thriller']","['miami, florida', 'florida', 'drug deal', 'havana, cuba', 'speedboat\xa0']"
Open Water,83,"['Drama', 'Thriller', 'Horror']","['dive', 'cataclysm', 'nightmar', 'panic', 'scuba div', 'shark', 'scuba']"
Raiders of the Lost Ark,85,"['Adventure', 'Action']","['saving the world', 'riddl', 'nepal', 'himalaya', 'cairo', 'mose', 'egypt', 'whip', 'treasur', 'medallion', 'leather jacket', 'nazi', 'hat', 'mediterranean', 'ark of the coven', 'ten command', 'treasure hunt', 'excav', 'swastika', 'archaeologist', 'archeolog', '1930']"
Indiana Jones and the Temple of Doom,87,"['Adventure', 'Action']","['riddl', 'treasur', 'wind', 'eleph', 'heart', 'crocodil', 'bridg', 'skeleton', 'treasure hunt', 'mysteri', 'tortur', 'india', 'violenc', 'monkey', 'archaeologist', 'child driving car', 'archeolog', '1930']"
Dirty Dancing,88,"['Drama', 'Music', 'Romance']","['danc', 'sibling relationship', 'hotel', 'robberi', 'dancing mast', 'dance perform', 'daughter', 'summer camp', 'secret lov', 'coming of ag', 'teenage crush', 'doctor', 'class differ', 'family holiday', 'sensual', 'unwanted pregn', 'abort']"
Indiana Jones and the Last Crusade,89,"['Adventure', 'Action']","['germani', 'saving the world', 'venice, itali', 'holy grail', 'librari', 'riddl', 'parent child relationship', 'whip', 'treasur', 'nazi', 'entrap', 'crusad', 'father', 'treasure hunt', 'escap', 'tank', 'desert', 'archaeologist', 'archeolog', '1930', 'father son relationship']"
Beverly Hills Cop,90,"['Action', 'Comedy', 'Crime']","['california', 'showdown', 'undercov', 'strip club', 'investig', 'weapon', 'polic', 'smuggl', 'swimming pool', 'gunfight', 'mansion', 'los angeles, california', 'foot chas', 'art galleri', 'detroit, michigan', 'warehous', 'beverly hil', 'buddy cop', 'buddy comedi', 'country club', 'damsel in distress', 'bar fight']"
Megacities,92,['Documentary'],['slum']
Anatomy of a Murder,93,"['Crime', 'Drama', 'Mystery', 'Thriller']","['rape', 'adulteri', 'based on novel or book', 'jealousi', 'michigan', 'judg', 'jazz', 'juror', 'court cas', 'lawyer', 'trial', 'courtroom', 'murder tri', 'courtroom drama']"
Kunstgriff,94,['Comedy'],"['robberi', 'pickpocket', 'strange person']"
Armageddon,95,"['Action', 'Thriller', 'Science Fiction', 'Adventure']","['saving the world', 'paris, fr', 'moon', 'washington d.c.', 'loss of loved on', 'cataclysm', 'asteroid', 'self sacrific', 'nasa', 'space marin', 'u.s. air forc', 'race against tim', 'natural disast', 'daughter', 'space', 'end of the world', 'disast', 'wed', 'astronaut', 'duringcreditssting', 'disaster movi', 'heroic miss', 'space centr', 'disaster film']"
Beverly Hills Cop II,96,"['Action', 'Comedy', 'Crime']","['arms smuggl', 'detect', 'undercov', 'strip club', 'armored car', 'investig', 'polic', 'swimming pool', 'sequel', 'shootout', 'gunfight', 'los angeles, california', 'explos', 'violenc', 'detroit, michigan', 'horse track', 'beverly hil', 'buddy cop', 'oil field']"
Tron,97,"['Science Fiction', 'Action', 'Adventure']","['video gam', 'hacker', 'simul', 'super comput', 'utopia', 'simulated reality ', 'virtual r', 'dystopia']"
Gladiator,98,"['Action', 'Drama', 'Adventure']","['rome, itali', 'parent child relationship', 'gladiat', 'arena', 'senat', 'roman empir', 'emperor', 'slaveri', 'ancient rom', 'battlefield', 'historical fict', 'ancient world', 'combat', '2nd centuri']"
"Lock, Stock and Two Smoking Barrels",100,"['Comedy', 'Crime']","['ambush', 'alcohol', 'shotgun', 'tea', 'joint', 'cocktail', 'rifl', 'marijuana', 'pot smok', 'anger', 'cult film', 'piano']"
Léon: The Professional,101,"['Crime', 'Drama', 'Action']","['new york c', 'corrupt', 'loss of loved on', 'assassin', 'police brut', 's.w.a.t.', 'immigr', 'hitman', 'train', 'reveng', 'murder', 'loneli', 'neighbor', 'tragic lov', 'cult film', 'neo-noir']"
Taxi Driver,103,"['Crime', 'Drama']","['new york c', 'vietnam veteran', 'taxi', 'pornographi', 'obsess', 'pimp', 'taxi driv', 'drug deal', 'politician', 'firearm', 'vigilant', 'junk food', 'alien', 'misanthrophi', 'violenc', 'illegal prostitut', 'loner', 'neo-noir', 'drive']"
Back to the Future,105,"['Adventure', 'Comedy', 'Science Fiction', 'Family']","['clock tow', 'flying car', 'car rac', 'terrorist', 'delorean', 'lightn', 'guitar', 'plutonium', 'sports car', 'inventor', 'journey in the past', 'invent', 'time travel', 'race against tim', 'bulli', 'partner', 'misfit', 'mad scientist', 'fish out of wat', 'teenage lov', 'destini', 'hidden ident', 'odd coupl', 'escapad', 'disord', 'chases and rac', 'changing the past or futur', '1950']"
Predator,106,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['central and south america', 'predat', 'alien', 'stalk', 'surviv', 'guerrilla warfar', 'trap', 'alien invas', 'invis', 'commando']"
Snatch,107,"['Crime', 'Comedy']","['england', 'gypsi', 'gambl', 'bare knuckle box', 'robberi', 'trailer park', 'boxer', 'gangster', 'pig', 'violenc', 'underground fight', 'cult film']"
Scarface,111,"['Action', 'Crime', 'Drama', 'Thriller']","['sibling relationship', 'miami, florida', 'corrupt', 'loss of loved on', 'cuba', 'prohibition era', 'cocain', 'gangster', 'rise and fal', 'remak', 'drug cartel', 'mafia', 'violenc', 'drug lord', 'rise to pow']"
Pretty Woman,114,"['Romance', 'Comedy']","['prostitut', 'capit', 'hotel', 'expensive restaur', 'sports car', 'workahol', 'friendship', 'los angeles, california', 'beverly hil', 'piano']"
The Big Lebowski,115,"['Comedy', 'Crime']","['bowl', 'vietnam veteran', 'nihil', 'heart attack', 'kidnap', 'lsd', 'marijuana', 'los angeles, california', 'millionair', 'cult film', 'cowboy', 'impregn', 'unemploy', 'neo-noir']"
Match Point,116,"['Drama', 'Thriller', 'Crime', 'Romance']","['love triangl', 'london, england', 'upper class', 'adulteri', 'tenni', 'river tham', 'sport', 'love', 'wealth', 'lust', 'gold digg', 'instructor', 'social climb']"
The Untouchables,117,"['Crime', 'Drama', 'History', 'Thriller']","['chicago, illinoi', 'prohibition era', 'gangster', 'baseball bat', 'al capon', 'tough cop', 'tax evas', '1930']"
Charlie and the Chocolate Factory,118,"['Adventure', 'Comedy', 'Family', 'Fantasy']","['london, england', 'chocol', 'factory work', 'based on novel or book', 'parent child relationship', 'candi', 'overweight child', 'grandparent grandchild relationship', 'teacher']"
The Lord of the Rings: The Fellowship of the Ring,120,"['Adventure', 'Fantasy', 'Action']","['elv', 'dwarf', 'orc', 'hobbit', 'loss of loved on', 'based on novel or book', 'river', 'mountain', 'mine', 'firework', 'castl', 'volcano', 'birthday parti', 'uncl', 'addict', 'fugit', 'battl', 'violenc', 'death', 'blizzard', 'wizard', 'journey', 'ring', 'live action and anim', 'sword and sorceri', 'middle-earth']"
The Lord of the Rings: The Two Towers,121,"['Adventure', 'Fantasy', 'Action']","['elv', 'dwarf', 'orc', 'hobbit', 'based on novel or book', 'explos', 'cave', 'funer', 'sieg', 'fort', 'armi', 'addict', 'mission', 'attack', 'dragon', 'violenc', 'guid', 'death', 'split person', 'wizard', 'ring', 'live action and anim', 'sword and sorceri', 'middle-earth']"
The Lord of the Rings: The Return of the King,122,"['Adventure', 'Fantasy', 'Action']","['elv', 'dwarf', 'orc', 'hobbit', 'based on novel or book', 'suspicion', 'volcano', 'braveri', 'addict', 'honor', 'royalti', 'troll', 'brutal', 'violenc', 'ghost', 'wizard', 'quest', 'live action and anim', 'sword and sorceri', 'middle-earth']"
The Lord of the Rings,123,"['Adventure', 'Animation', 'Fantasy']","['elv', 'dwarf', 'hobbit', 'based on novel or book', 'mission', 'middle-earth']"
Gimme Shelter,132,"['Documentary', 'Music']","['california', 'the rolling ston', 'music', 'concert', 'rock mus', 'concert film', 'woman director']"
Primary,133,['Documentary'],"['u.s. presid', 'stage', 'presidential elect', 'media', 'election campaign', 'democraci']"
"O Brother, Where Art Thou?",134,"['Adventure', 'Comedy', 'Crime']","['propheci', 'southern usa', 'music record', 'country mus', 'mississippi riv', 'seduct', 'fraud']"
Dont Look Back,135,"['Documentary', 'Music']","['england', ""rock 'n' rol"", 'guitar', 'rock star', 'pop star', 'musician', 'tour', 'concert']"
Freaks,136,"['Drama', 'Horror']","['dwarf', 'infidel', 'attempted murd', 'clown', 'beauti', 'carniv', 'reveng', 'murder', 'midnight movi', 'cult film', 'newlyw', 'pre-cod', 'bigotri', 'disabl', 'sideshow', 'psychotron', 'told in flashback', 'trapeze artist', 'stutter', 'deform', 'conjoined twin', 'freak']"
Groundhog Day,137,"['Romance', 'Fantasy', 'Drama', 'Comedy']","['deja vu', 'weather forecast', 'telecast', 'pennsylvania, usa', 'winter', 'time warp', 'time loop', 'cult film', 'magic r', 'existenti']"
Dracula,138,"['Horror', 'Drama', 'Fantasy']","['transylvania', 'based on novel or book', 'monster', 'castl', 'vampir', 'spider', 'bat', 'count', 'based on play or mus', 'undead', 'sanitarium', 'black and whit', 'pre-cod', 'lunat', 'dracula']"
Donnie Darko,141,"['Fantasy', 'Drama', 'Mystery']","['fire', 'parent child relationship', 'halloween', 'airplan', 'time travel', 'loss', 'school perform', 'imaginary friend', 'surreal', 'suburbia', 'vision', 'teenag', 'cult film', 'mental il', 'virginia', 'sleepwalk', '1980']"
Brokeback Mountain,142,"['Drama', 'Romance']","['countrysid', 'homophobia', 'wyom', 'intoler', 'marriage crisi', 'secret lov', 'in the closet', 'summer', 'cowboy', 'lgbt', 'star crossed lov', '1960', 'closeted homosexu', 'gay lov', 'gay them', 'gay', 'gay relationship']"
All Quiet on the Western Front,143,"['Drama', 'War']","['germani', 'patriot', 'world war i', 'friendship', 'armi', 'boot camp', 'battlefield', 'steel helmet', 'atroc', 'soldier', 'combat', 'death', 'pre-cod', 'anti war', 'trench']"
The Secret Life of Words,148,"['Drama', 'Romance']","['nurs', 'loss of loved on', 'factory work', 'depress', 'war crim', 'factori', 'dying and death', 'tortur', 'woman director']"
48 Hrs.,150,"['Thriller', 'Action', 'Comedy', 'Crime', 'Drama']","['prison', 'san francisco, california', 'knife', 'partner', 'reveng', 'violenc', 'convict', 'buddy cop', 'tough cop']"
Star Trek: The Motion Picture,152,"['Science Fiction', 'Adventure', 'Mystery']","['artificial intellig', 'man vs machin', 'san francisco, california', 'self sacrific', 'spacecraft', 'space opera', 'reunited friend']"
Lost in Translation,153,"['Drama', 'Romance', 'Comedy']","['upper class', 'japan', 'adulteri', 'hotel room', 'age differ', 'photograph', 'commerci', 'karaok', 'homesick', 'culture clash', 'midlife crisi', 'pop star', 'unsoci', 'loneli', 'unlikely friendship', 'aftercreditssting', 'woman director', 'actor']"
Star Trek II: The Wrath of Khan,154,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['life and death', 'genesi', 'asteroid', 'self sacrific', 'midlife crisi', 'simul', 'cadet', 'radiat', 'genet', 'space opera']"
The Dark Knight,155,"['Drama', 'Action', 'Crime', 'Thriller']","['dc comic', 'crime fight', 'secret ident', 'scarecrow', 'sadism', 'chao', 'vigilant', 'superhero', 'based on com', 'tragic hero', 'organized crim', 'criminal mastermind', 'district attorney', 'super pow', 'super villain', 'neo-noir']"
Star Trek III: The Search for Spock,157,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['genesi', 'friendship', 'space opera']"
Ocean's Eleven,161,"['Thriller', 'Crime']","['prison', 'pickpocket', 'strip club', 'thief', 'caper', 'heist', 'con artist', 'atlantic c', 'salt lake city, utah', 'las vega']"
Edward Scissorhands,162,"['Fantasy', 'Drama', 'Romance']","['underdog', 'love at first sight', 'hairdress', 'small town', 'scissor', 'inventor', 'burglar', 'isol', 'sad', 'symbol', 'fairy tal', 'unsoci', 'alon', 'flashback', 'tragic lov', 'snow', 'gothic', 'told in flashback', 'artifici', 'tragicomedi', 'frankenstein']"
Ocean's Twelve,163,"['Thriller', 'Crime']","['rome, itali', 'sequel', 'heist']"
Breakfast at Tiffany's,164,"['Comedy', 'Drama', 'Romance']","['new york c', 'loss of loved on', 'age differ', 'cat', ""love of one's lif"", 'jewelri', 'cigarette smok', 'millionair']"
Back to the Future Part II,165,"['Adventure', 'Comedy', 'Family', 'Science Fiction']","['skateboard', 'flying car', 'car rac', 'delorean', 'lightn', 'guitar', 'inventor', 'time travel', 'sequel', 'car crash', 'diner', 'alternate histori', 'teenag', 'thunderstorm', 'tunnel', 'hoverboard']"
K-PAX,167,"['Science Fiction', 'Drama']","['robberi', 'dream', 'hypnosi', 'investig', 'murder', 'alien', 'hospit', 'planet', 'patient', 'medic', 'psychiatrist', 'scienc', 'mental']"
Star Trek IV: The Voyage Home,168,"['Science Fiction', 'Adventure']","['saving the world', 'san francisco, california', 'time travel', 'whale', 'marine biologist', 'space opera']"
Predator 2,169,"['Science Fiction', 'Action', 'Thriller']","['predat', 'war on drug', 'extraterrestrial technolog', 'los angeles, california', 'alien invas', 'invis']"
28 Days Later,170,"['Horror', 'Thriller', 'Science Fiction']","['london, england', 'taxi', 'manchester c', 'submachine gun', 'gas stat', 'survivor', 'daughter', 'laboratori', 'hospit', 'zombi', 'brutal', 'church', 'violenc', 'rage', 'epidem', 'cult film', 'militari', 'viru']"
Star Trek V: The Final Frontier,172,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['feder', 'loss of loved on', 'self sacrific', 'hostag', 'liberation of hostag', 'space opera']"
"20,000 Leagues Under the Sea",173,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Science Fiction']","['dive', 'ocean', 'submarin', 'jules vern', 'captain', 'atlanti', 'deep sea', 'war ship', 'ship', 'scuba div', 'underwat', 'scuba', 'captain nemo']"
Star Trek VI: The Undiscovered Country,174,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['farewel', 'feder', 'court cas', 'plan', 'space opera']"
Saw,176,"['Horror', 'Mystery', 'Crime']","['detect', 'shotgun', 'flashback', 'hospit', 'doctor', 'sadist', 'cult film', 'chain', 'booby trap', 'mind gam']"
The Fisher King,177,"['Comedy', 'Drama']","['holy grail', 'loss of loved on', 'homeless person', 'sense of guilt', 'suppressed past', 'yuppi', 'cynic', 'self-discoveri', 'forgiv', 'gun rampag', 'talk show', 'legend', 'unsoci', 'mental il', 'person running amok']"
Blown Away,178,"['Thriller', 'Action', 'Crime', 'Drama']","['terrorist', 'boston, massachusett', 'firework', 'orchestra', 'anarchist', 'concert', 'comput', 'reveng', 'flashback', 'wed', 'explos', 'violenc', 'capsized ship', 'belfast, north ireland', 'bomb plant', 'bomb attack', 'action hero', 'blast']"
The Interpreter,179,"['Crime', 'Thriller']","['new york c', 'dictat', 'africa', 'destruction of a civil', 'assassin', 'resist', 'fbi', 'reveng', 'murder', 'united n', 'witness to murd', 'resistance fight']"
Minority Report,180,"['Action', 'Thriller', 'Science Fiction', 'Mystery']","['washington d.c.', 'based on novel or book', 'futur', 'precognit', 'hologram', 'dystopia', 'murder', 'police chas', 'murder investig', 'neo-noir']"
The Good German,182,"['Drama', 'Thriller', 'Mystery']","['berlin, germani', 'corrupt', ""love of one's lif"", 'chauffeur', 'black market', 'missil', 'nazi', 'war correspond', 'alli', 'truth', 'murder', 'post war']"
The Wizard,183,"['Adventure', 'Comedy', 'Drama', 'Family']","['competit', 'video gam', 'california', 'brother', 'utah', 'on the road', 'road movi']"
Jackie Brown,184,"['Crime', 'Thriller', 'Drama']","['based on novel or book', 'airport', 'underworld', 'arms deal', 'stewardess', 'weapon', 'polic', 'heist', 'money', 'drug', 'ex-con', 'neo-noir', 'los angel']"
A Clockwork Orange,185,"['Science Fiction', 'Drama']","['london, england', 'street gang', 'robberi', 'sexual', 'based on novel or book', 'parent child relationship', 'great britain', 'nihil', 'social work', 'societi', 'dystopia', 'psychopath', 'satir', 'controversi', 'violenc', 'juvenile delinqu', 'cult film', 'teenage protagonist']"
Lucky Number Slevin,186,"['Drama', 'Thriller', 'Crime', 'Mystery']","['assassin', 'assassin', 'ident', 'sniper', 'fbi', 'mistake in person', 'gangster', 'gambling debt', 'boss', 'murder', 'sniper rifl', 'horse rac', 'gambler', 'hoodlum']"
Sin City,187,"['Thriller', 'Action', 'Crime']","['dystopia', 'based on com', 'held capt', 'based on graphic novel', 'neo-noir']"
Sin City: A Dame to Kill For,189,"['Crime', 'Action', 'Thriller']","['detect', 'dystopia', 'dominatrix', 'murder', 'twin', 'based on graphic novel', 'dark horse com', 'neo-noir']"
The Name of the Rose,192,"['Drama', 'Thriller', 'Mystery']","['christian', 'librari', 'inquisit', 'monk', 'poison', 'secret passag', 'based on novel or book', 'labyrinth', 'rich', 'middle ag', 'persecut', 'mediev', 'burned at the stak', 'murder mysteri', '14th centuri']"
Star Trek: Generations,193,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['loss of loved on', 'android', 'death', 'cosmo', 'spaceship crash']"
Trouble in Paradise,195,"['Comedy', 'Crime', 'Romance']","['venice, itali', 'robberi', 'jealousi', 'widow', 'approach', 'based on play or mus', 'secretari', 'black and whit', 'extramarital affair', 'pre-cod', 'emot']"
Back to the Future Part III,196,"['Adventure', 'Comedy', 'Science Fiction']","['railroad robb', 'california', 'delorean', 'indian territori', 'sports car', 'inventor', 'saloon', 'horseback rid', 'time travel', 'outlaw', 'sequel', 'mad scientist', 'native american', 'western', 'shootout', 'gunfight', 'train', 'wild west', 'cavalri', '1950', 'hoverboard']"
Braveheart,197,"['Action', 'Drama', 'History', 'War']","['individu', 'scotland', 'in love with enemi', 'revolut', 'kilt', 'legend', 'independ', 'freedom', 'epic', 'ideal', 'family clan', 'based on a true stori', 'sword fight', 'historical fict', 'battl', 'united kingdom', 'mediev', 'revolt', 'tyranni', 'false histori', 'highland', '13th centuri', 'scottish highland']"
To Be or Not to Be,198,"['Comedy', 'War']","['love triangl', 'london, england', 'infidel', 'world war ii', 'jewish ghetto', 'nazi', 'airplan', 'parachut', 'military offic', 'espionag', 'black comedi']"
Star Trek: First Contact,199,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['feder', 'cyborg', 'montana', 'resist', 'inventor', 'repay', 'obsess', 'time travel', 'business start-up', 'space opera']"
Star Trek: Insurrection,200,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['starship', 'utopia', 'alien', 'space opera', 'retribut', 'cosmo']"
Star Trek: Nemesis,201,"['Science Fiction', 'Action', 'Adventure', 'Thriller']","['clone', 'assassin', 'ambush', 'feder', 'android', 'senat', 'self sacrific', 'telepathi', 'weapon', 'space opera']"
Mean Streets,203,"['Drama', 'Crime']","['epilepsi', 'gangster', 'secret lov', 'money', 'redempt']"
Hotel Rwanda,205,"['Drama', 'History', 'War']","['rwanda', 'refuge', 'refugee camp', 'militia', 'rwandan genocid', 'murder', 'slaughter', 'dead bodi', 'atroc', 'cruelti', 'violenc', 'united n', 'death']"
Paradise Found,206,['Drama'],"['paris, fr', 'south sea', 'paradis', 'missionari', 'jungl', 'catholic']"
Dead Poets Society,207,['Drama'],"['individu', 'philosophi', 'poetri', 'professor', 'literatur', 'friendship', 'teacher', 'coming of ag', 'school play', 'vermont', 'schoolteach', 'preparatory school', '1950']"
Arsenic and Old Lace,212,"['Comedy', 'Crime']","['poison', 'cemeteri', 'cellar', 'halloween', 'marriag', 'insan', 'murder', 'serial kil', 'writer', 'corps', 'critic']"
